target_id	length	eff_length	est_counts	tpm
KIR:KIR01934	14742	14593.5	0	0
KIR:KIR01952	14741	14592.5	0	0
KIR:KIR01899	14741	14592.5	0	0
KIR:KIR01944	14737	14588.5	0	0
KIR:KIR01968	14748	14599.5	0	0
KIR:KIR01982	14748	14599.5	0	0
KIR:KIR01881	14748	14599.5	0	0
KIR:KIR01951	14741	14592.5	0	0
KIR:KIR01835	14741	14592.5	0	0
KIR:KIR02168	14741	14592.5	0	0
KIR:KIR01897	14748	14599.5	4.72427	71.1494
KIR:KIR01918	14742	14593.5	0	0
KIR:KIR01894	14741	14592.5	0	0
KIR:KIR01954	14740	14591.5	133.442	2010.8
KIR:KIR01872	14741	14592.5	0	0
KIR:KIR01980	14742	14593.5	0	0
KIR:KIR01984	14741	14592.5	0	0
KIR:KIR01798	14742	14593.5	0	0
KIR:KIR01916	14738	14589.5	0	0
KIR:KIR01900	14741	14592.5	0	0
KIR:KIR01953	14742	14593.5	0	0
KIR:KIR01923	14741	14592.5	13.6245	205.289
KIR:KIR01975	14744	14595.5	8.96229	135.013
KIR:KIR01787	14744	14595.5	8.96229	135.013
KIR:KIR01960	14748	14599.5	0	0
KIR:KIR01989	14740	14591.5	0	0
KIR:KIR01841	14741	14592.5	0	0
KIR:KIR01915	14741	14592.5	0	0
KIR:KIR01976	14742	14593.5	0.00460605	0.0693974
KIR:KIR01850	14741	14592.5	0	0
KIR:KIR01922	14741	14592.5	0.0203728	0.30697
KIR:KIR01907	14748	14599.5	0	0
KIR:KIR01870	14738	14589.5	0	0
KIR:KIR01803	14739	14590.5	0	0
KIR:KIR01784	14741	14592.5	0	0
KIR:KIR01800	14738	14589.5	0	0
KIR:KIR01854	14739	14590.5	0	0
KIR:KIR01956	14738	14589.5	0	0
KIR:KIR01775	14747	14598.5	4.96996	74.8546
KIR:KIR02027	14738	14589.5	0	0
KIR:KIR02020	14739	14590.5	0	0
KIR:KIR02047	14741	14592.5	0	0
KIR:KIR02013	14742	14593.5	7.76152	116.94
KIR:KIR02019	14741	14592.5	8.26659	124.558
KIR:KIR02000	14744	14595.5	0	0
KIR:KIR01999	14738	14589.5	0	0
KIR:KIR01939	14737	14588.5	0	0
KIR:KIR01817	14737	14588.5	0	0
KIR:KIR01782	14749	14600.5	0	0
KIR:KIR02048	14739	14590.5	0.0265441	0.400011
