target_id	length	eff_length	est_counts	tpm
KIR:KIR01999	14738	14593	0	0
KIR:KIR01939	14737	14592	0	0
KIR:KIR01817	14737	14592	0	0
KIR:KIR01782	14749	14604	0.00237298	0.0632587
KIR:KIR02048	14739	14594	0	0
KIR:KIR01973	14738	14593	0	0
KIR:KIR01839	14741	14596	0	0
KIR:KIR01813	14741	14596	0	0
KIR:KIR01891	14740	14595	0	0
KIR:KIR01797	14742	14597	0	0
KIR:KIR02005	14741	14596	0	0
KIR:KIR01777	14740	14595	0	0
KIR:KIR01819	14741	14596	0	0
KIR:KIR02004	14217	14072	0	0
KIR:KIR01791	14741	14596	0	0
KIR:KIR01790	14738	14593	0	0
KIR:KIR01887	14739	14594	0	0
KIR:KIR01829	14744	14599	0	0
KIR:KIR02024	14739	14594	0	0
KIR:KIR01807	14739	14594	1.66306	44.364
KIR:KIR01837	14738	14593	1.7776	47.4228
KIR:KIR01963	14748	14603	0	0
KIR:KIR01824	14741	14596	0	0
KIR:KIR02050	14741	14596	0	0
KIR:KIR01940	14738	14593	0	0
KIR:KIR01962	14738	14593	0	0
KIR:KIR01779	14739	14594	0	0
KIR:KIR01927	14741	14596	0	0
KIR:KIR01913	14742	14597	0	0
KIR:KIR02051	14741	14596	0	0
KIR:KIR01941	14739	14594	0	0
KIR:KIR01898	14741	14596	0	0
KIR:KIR02009	14748	14603	0	0
KIR:KIR01875	14741	14596	0	0
KIR:KIR02102	14742	14597	0	0
KIR:KIR01877	14739	14594	0	0
KIR:KIR02158	14738	14593	0	0
KIR:KIR01828	14741	14596	0	0
KIR:KIR01778	14741	14596	0	0
KIR:KIR02003	14741	14596	0	0
KIR:KIR01995	14741	14596	0	0
KIR:KIR01961	14741	14596	0	0
KIR:KIR02012	14741	14596	0	0
KIR:KIR00010	14812	14667	71.8832	1908.02
KIR:KIR00405	14785	14640	309.375	8227
KIR:KIR00407	14780	14635	3.44866e-05	0.000917391
KIR:KIR00410	14780	14635	71.0955	1891.24
KIR:KIR00618	14782	14637	19.9334	530.185
KIR:KIR00645	14782	14637	377.57	10042.5
KIR:KIR00630	14748	14603	3619.98	96507.7
KIR:KIR00012	14696	14551	1.28469e-08	3.43718e-07
KIR:KIR00316	14810	14665	0	0
KIR:KIR00335	14338	14193	421.243	11554.6
KIR:KIR00406	14775	14630	0	0
KIR:KIR00408	14780	14635	0	0
KIR:KIR00409	14772	14627	33.3582	887.859
KIR:KIR00411	14768	14623	0	0
KIR:KIR01089	14804	14659	0	0
KIR:KIR00014	14761	14616	0	0
KIR:KIR00412	14767	14622	0	0
KIR:KIR00413	14755	14610	0	0
KIR:KIR00415	14757	14612	1.22388e-08	3.26082e-07
KIR:KIR00416	14755	14610	0	0
KIR:KIR00417	14755	14610	0	0
KIR:KIR00418	14756	14611	0	0
KIR:KIR00419	14750	14605	0	0
KIR:KIR00619	14750	14605	0	0
KIR:KIR00631	14768	14623	4.59869	122.432
KIR:KIR00657	14763	14618	32.9647	877.928
KIR:KIR01064	14750	14605	0	0
KIR:KIR01072	14755	14610	0	0
KIR:KIR01080	14768	14623	0	0
KIR:KIR01101	14750	14605	0	0
KIR:KIR00734	14754	14609	0	0
KIR:KIR00015	14791	14646	99.5633	2646.54
KIR:KIR00435	14810	14665	0	0
KIR:KIR00646	14784	14639	0	0
KIR:KIR00018	14757	14612	0	0
KIR:KIR00019	14778	14633	0	0
KIR:KIR00414	14779	14634	37.6186	1000.78
KIR:KIR01116	14756	14611	21.0976	562.149
KIR:KIR02326	14742	14597	0	0
KIR:KIR00021	11177	11032	0	0
KIR:KIR00424	11177	11032	0	0
KIR:KIR01133	11177	11032	0	0
KIR:KIR00112	10593	10448	0	0
KIR:KIR00115	10565	10420	0	0
KIR:KIR00420	11177	11032	0	0
KIR:KIR00421	11177	11032	0	0
KIR:KIR00422	11177	11032	0	0
KIR:KIR00423	11177	11032	0	0
KIR:KIR00425	11177	11032	3.43458	121.204
KIR:KIR00620	11212	11067	0	0
KIR:KIR01134	11177	11032	0	0
KIR:KIR02307	11032	10887	15.927	569.539
KIR:KIR00119	10525	10380	0	0
KIR:KIR01135	11177	11032	7.40534	261.33
KIR:KIR00026	11143	10998	0	0
KIR:KIR01136	11145	11000	54.5101	1929.22
KIR:KIR01137	11144	10999	0	0
KIR:KIR01138	11143	10998	0	0
KIR:KIR01139	11143	10998	0	0
KIR:KIR01140	11143	10998	0	0
KIR:KIR01141	11144	10999	0	0
KIR:KIR00130	11137	10992	9.95393	352.546
KIR:KIR01142	11137	10992	4.61004	163.277
KIR:KIR01143	11137	10992	13.4305	475.677
KIR:KIR00109	11134	10989	1.38203	48.9617
KIR:KIR00117	10523	10378	0	0
KIR:KIR00436	11134	10989	1.38203	48.9617
KIR:KIR01144	11134	10989	0.366617	12.9883
KIR:KIR01145	11134	10989	8.31322	294.516
KIR:KIR01146	11134	10989	0.283804	10.0544
KIR:KIR00111	10552	10407	0	0
KIR:KIR00116	10524	10379	0	0
KIR:KIR00437	11136	10991	8.31121	294.391
KIR:KIR00647	11135	10990	0	0
KIR:KIR01147	11135	10990	6.3864	226.233
KIR:KIR01148	11135	10990	0	0
KIR:KIR01149	11135	10990	0	0
KIR:KIR01150	11135	10990	0	0
KIR:KIR01151	11134	10989	0.0622493	2.20533
KIR:KIR01152	11134	10989	0	0
KIR:KIR01153	11134	10989	0	0
KIR:KIR01154	11135	10990	0	0
KIR:KIR00118	10523	10378	6.40581	240.302
KIR:KIR00114	10525	10380	0	0
KIR:KIR00113	11175	11030	897.698	31684.9
KIR:KIR01155	11175	11030	274.957	9704.8
KIR:KIR01156	11175	11030	2146.91	75776.8
KIR:KIR01157	11177	11032	0	0
KIR:KIR01158	11135	10990	0	0
KIR:KIR01159	11175	11030	0	0
KIR:KIR01160	11177	11032	4.1398e-05	0.00146091
KIR:KIR01161	11135	10990	0	0
KIR:KIR01162	11175	11030	303.514	10712.7
